OLT,F,S,P,Código QR,Cuenta,Latitud,Longitud,Capacidad,Ubicacion
ALDAMA_2_JUA,3,1,1,TP248155,0112936786,31.729363,-106.496047,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP248155,0141726695,31.729363,-106.496047,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP249432,0105768275,31.725881,-106.495975,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP249432,0105128913,31.725881,-106.495975,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP249432,0141404072,31.725881,-106.495975,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP249432,0142836127,31.725881,-106.495975,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP249432,0100545440,31.725881,-106.495975,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP249432,0141502847,31.725881,-106.495975,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP249432,0141291238,31.725881,-106.495975,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP249432,0104830455,31.725881,-106.495975,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP249432,0133737336,31.725881,-106.495975,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP250733,0101965966,31.726262,-106.498828,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP250733,0109727923,31.726262,-106.498828,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP250733,0118232274,31.726262,-106.498828,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP250733,0104935722,31.726262,-106.498828,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP250733,0107449295,31.726262,-106.498828,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP250733,0141486641,31.726262,-106.498828,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP250733,0101777205,31.726262,-106.498828,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP991197,0107218728,31.728112,-106.495266,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP991197,0105961905,31.728112,-106.495266,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP991197,0113180185,31.728112,-106.495266,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP991197,0141109276,31.728112,-106.495266,1:16,Poste
ALDAMA_2_JUA,3,1,1,TP991197,0119416296,31.728112,-106.495266,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP246840,0141686934,31.763677,-106.533635,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP246840,0140764644,31.763677,-106.533635,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP246840,0107398779,31.763677,-106.533635,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP246840,0140845265,31.763677,-106.533635,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP246840,0107467123,31.763677,-106.533635,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP246840,0111265735,31.763677,-106.533635,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP246840,0107450973,31.763677,-106.533635,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP246840,0107440213,31.763677,-106.533635,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP246840,0107473333,31.763677,-106.533635,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP246840,0107437837,31.763677,-106.533635,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP246840,0141687565,31.763677,-106.533635,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP246840,0141242491,31.763677,-106.533635,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP246840,0141404442,31.763677,-106.533635,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP249437,0142276615,31.762437,-106.539703,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP249437,0126680378,31.762437,-106.539703,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP249437,0129795776,31.762437,-106.539703,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP249437,0141142307,31.762437,-106.539703,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP249437,0115613730,31.762437,-106.539703,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP249437,0142671374,31.762437,-106.539703,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP249437,0118056354,31.762437,-106.539703,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP249437,0142064625,31.762437,-106.539703,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP249437,0142628378,31.762437,-106.539703,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP249437,0116255310,31.762437,-106.539703,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP249437,0113600897,31.762437,-106.539703,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP249783,0107513031,31.765513,-106.537297,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP249783,0142672017,31.765513,-106.537297,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP249783,0143011002,31.765513,-106.537297,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP249783,0141227576,31.765513,-106.537297,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP249783,0107598592,31.765513,-106.537297,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP249783,0143130130,31.765513,-106.537297,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP249783,0107563386,31.765513,-106.537297,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP249783,0143458268,31.765513,-106.537297,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP253391,0107462924,31.762238,-106.532203,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP253391,0120183609,31.762238,-106.532203,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP253391,0107409180,31.762238,-106.532203,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP253391,0107457859,31.762238,-106.532203,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP253391,0107481064,31.762238,-106.532203,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255194,0143195940,31.764458,-106.53809,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255194,0107402068,31.764458,-106.53809,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255194,0141551658,31.764458,-106.53809,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255194,0121786172,31.764458,-106.53809,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255194,0142418401,31.764458,-106.53809,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255194,0142762748,31.764458,-106.53809,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255194,0108904429,31.764458,-106.53809,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255194,0142812016,31.764458,-106.53809,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255194,0109845146,31.764458,-106.53809,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255194,0142992095,31.764458,-106.53809,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255194,0117355940,31.764458,-106.53809,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255194,0143085421,31.764458,-106.53809,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255403,0141282456,31.767188,-106.535203,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255403,0140816366,31.767188,-106.535203,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255403,0140677521,31.767188,-106.535203,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255403,0107458931,31.767188,-106.535203,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255403,0108334606,31.767188,-106.535203,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255403,0112880463,31.767188,-106.535203,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255664,0107399513,31.764184,-106.534665,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255664,0108391309,31.764184,-106.534665,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255664,0140655661,31.764184,-106.534665,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255664,0112524769,31.764184,-106.534665,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255664,0107401953,31.764184,-106.534665,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255664,0107447305,31.764184,-106.534665,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255664,0107448252,31.764184,-106.534665,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255664,0111992208,31.764184,-106.534665,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255664,0141326129,31.764184,-106.534665,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255664,0141547728,31.764184,-106.534665,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255664,0141631755,31.764184,-106.534665,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255664,0119018081,31.764184,-106.534665,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255665,0142862091,31.766013,-106.535766,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255665,0141704042,31.766013,-106.535766,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255665,0141695224,31.766013,-106.535766,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255665,0104458098,31.766013,-106.535766,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255665,0110952876,31.766013,-106.535766,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255665,0107476166,31.766013,-106.535766,1:16,Poste
ALDAMA_2_JUA,3,1,2,TP255665,0143140107,31.766013,-106.535766,1:16,Poste
